Description	Code
write a python function to Calculate the date of n days from the given date.	"

from datetime import datetime, timedelta


def add_days(n, d=datetime.today()):
	return d + timedelta(n)
"
Write a python function to find Area Of Rectangle	"def areaRectangle(a, b):
	return (a * b)
"
Circle class has a method which can compute the area.	"class Circle(object):
	def __init__(self, r):
        self.radius = r

	def area(self):
        return self.radius**2 * 3.14


aCircle = Circle(2)
print(aCircle.area())
"
44. python function for finding the derivative of sine angle	"def dsine(angle):
	

	return math.cos(angle)
"
given stocks for yesterday	"

def get_max_profit(stock_prices):
	max_profit = 0

	for outer_time in range(len(stock_prices)):

        for inner_time in range(len(stock_prices)):
            earlier_time = min(outer_time, inner_time)
            later_time = max(outer_time, inner_time)

            earlier_price = stock_prices[earlier_time]
            later_price = stock_prices[later_time]

            potential_profit = later_price - earlier_price

            max_profit = max(max_profit, potential_profit)

	return max_profit
"
write a function that return space count	"
def count_space(str1):

	count = 0

	for i in range(0, len(str1)):

        if str1[i] == "" "":
            count += 1

	return count
"
write a python function to repeat calls to function with specified arguments	"def repeatfunc(func, times=None, *args):
	from itertools import starmap, repeat
	if times is None:
        return starmap(func, repeat(args))
	return starmap(func, repeat(args, times))
"
Python program to compute distance between two points	"def points(x1, x2):
	import math
	p1 = list(x1)
	p2 = list(x2)
	distance = math.sqrt(((p1[0] - p2[0]) ** 2) + ((p1[1] - p2[1]) ** 2))
	print(distance)


points((2, 3), (4, 5))
"
strings. Print the original and final lists.	"
test_list = ['gfg', '	', ' ', 'is', '			', 'best']

print(""The original list is : "" + str(test_list))

res = [ele for ele in test_list if ele.strip()]

print(""List after filtering non-empty strings : "" + str(res))
"
into a dictioinary	"def list_to_dict(list1, list2):
	return dict(zip(list1, list2))
"
write a python program to print transpose a matrix and print	"X = [[12, 7],
     [4, 5],
     [3, 8]]


result = [[0, 0, 0],
          [0, 0, 0]]


for i in range(len(X)):
	for j in range(len(X[0])):
        result[j][i] = X[i][j]


for r in result:
	print(r)
"
write a python program to print the sum of first n numbers	"n = 10
sum = 0
while n > 0:
	sum += n
	n -= 1
print(sum)
"
list using square brackets	"a = [[2, 4, 6, 8],
     [1, 3, 5, 7],
     [8, 6, 4, 2],
     [7, 5, 3, 1]]


for i in range(len(a)):
	for j in range(len(a[i])):
        print(a[i][j], end="" "")
	print()
"
write a Python3 program to demonstrate the use of replace() method	"

string = ""geeks for geeks geeks geeks geeks""


print(string.replace(""geeks"", ""Geeks""))


print(string.replace(""geeks"", ""GeeksforGeeks"", 3))
"
calculate and return the area of a triangle	"

def triangle_area(a, b, c):
	s = (a + b + c) / 2
	area = (s(s - a) * (s - b) * (s - c)) ** 0.5
	return(area)
"
40 write a function to return the nth fibonacci in python	"def Fibonacci(n):
	if n < 0:
        print(""Incorrect input"")
	elif n == 1:
        return 0
	elif n == 2:
        return 1
	else:
        return Fibonacci(n - 1) + Fibonacci(n - 2)
"
write a program to remove all duplicate characters from a string	"

str1 = ""what a great day!""
print("""".join(set(str1)))
"
they will turn 100 years old.	"

import datetime


name = input('Type your name:')


age = input('Type your age:')


now = datetime.datetime.now()


diff = 100 - int(age)




print('Hi ' + name + "" you will complete 100 years in "", (now.year + diff))
"
common keys	"dict1 = {'a': 12, 'for': 25, 'c': 9}
dict2 = {'Geeks': 100, 'geek': 200, 'for': 300}
for key in dict2:
	if key in dict1:
        dict2[key] = dict2[key] + dict1[key]
	else:
        pass
"
removed item	"my_list1 = [4, 3, 2, 9, 10, 44, 1, 9, 12]
index = 4
print(f""Sum of two list:,{my_list1.pop(index)}"")
"
2020-12	"def get_stock_prices(tickerSymbol='TSLA'):
	import yfinance as yf

	tickerData = yf.Ticker(tickerSymbol)

	tickerDf = tickerData.history(
        period='1d', start='2015-1-1', end='2020-12-20')

	print(tickerDf)
"
Convert string into a datetime object	"from datetime import datetime
date_string = ""Feb 25 2020  4:20PM""
datetime_object = datetime.strptime(date_string, '%b %d %Y %I:%M%p')
print(datetime_object)
"
divisible by 7, between a given range 0 and n.	"

def putNumbers(n):
	i = 0
	while i < n:
        j = i
        i = i + 1
        if j % 7 == 0:
            yield j


for i in reverse(100):
	print(i)
"
write a python function that returns every nth element in a list	"

def every_nth(lst, nth):
	return lst[nth - 1::nth]
"
27. Python Program to Convert Decimal to Hexadecimal	"dec = 344
print(""The decimal value of"", dec, ""is:"")
print(hex(dec), ""in hexadecimal."")
"
write a program to remove the leading and trailing characters	"txt = "",,,,,rrttgg.....banana....rrr""
x = txt.strip("",.grt"")
print(x)
"
write a list comprehension for number and its cube	"

l = [1, 2, 3, 4, 5, 6, 7, 8, 9]
print([x**3 for x in l])
"
make it suitable for caseless comparison	"my_str = my_str.casefold()
"
Write a function to calculate volume of Square Pyramid	"def volumeSquare(b, h):
	return (0.33) * b * b * h
"
string in single traversal.	"def moveSpaces(str1):
	no_spaces = [char for char in str1 if char != ' ']
	space = len(str1) - len(no_spaces)
	result = ' ' * space
	return result + ''.join(no_spaces)
"
Variable	"

x = 5
y = 10


x, y = y, x
print(""x ="", x)
print(""y ="", y)
"
Convert two lists into a dictionary	"ItemId = [54, 65, 76]
names = [""Hard Disk"", ""Laptop"", ""RAM""]
itemDictionary = dict(zip(ItemId, names))
print(itemDictionary)
"
print the number	"class Number:
	def __init__(self, num):
        self.num = num

	def inputNum(self):
        self.num = int(input(""Enter an integer number: ""))

	def printNum(self):
        print(self.num)
"
Write Python function to check if a string is palindrome or not	"def isPalindrome(s):
	return s == s[::-1]
"
write a Python program to demonstrate working of Convert String to tuple list	"

test_str = ""(1, 3, 4), (5, 6, 4), (1, 3, 6)""


print(""The original string is : "" + test_str)


res = []
temp = []
for token in test_str.split("", ""):
	num = int(token.replace(""("", """").replace("")"", """"))
	temp.append(num)
	if "")"" in token:
        res.append(tuple(temp))
        temp = []


print(f""List after conversion from string : {res}"")
"
Pick a random character from a given String	"import random


name = 'pynative'
char = random.choice(name)
print(""random char is "", char)
"
list for the below list	"

def selection_sort(alist):
	for i in range(0, len(alist) - 1):
        smallest = i
        for j in range(i + 1, len(alist)):
            if alist[j] < alist[smallest]:
                smallest = j
        alist[i], alist[smallest] = alist[smallest], alist[i]


alist = [2, 3, 5, 6, 4, 5]
selection_sort(alist)
print('Sorted list: ', end='')
print(alist)
"
return the modified text	"def caesar_cipher(text, shift=1):
	alphabet = string.ascii_lowercase
	shifted_alphabet = alphabet[shift:] + alphabet[:shift]
	table = str.maketrans(alphabet, shifted_alphabet)
	return text.translate(table)
"
returns the list and the deleted element	"def delete_last_element(list_to_be_processed):
	deleted_element = list_to_be_processed.pop()
	return list_to_be_processed, deleted_element
"
write a python program to check if the number is an Armstrong number or not	"

num = 663
sum = 0


temp = num
while temp > 0:
	digit = temp % 10
	sum += digit ** 3
	temp //= 10


if num == sum:
	print(num, ""is an Armstrong number"")
else:
	print(num, ""is not an Armstrong number"")
"
result is 3x4	"result = [[0, 0, 0, 0],
          [0, 0, 0, 0],
          [0, 0, 0, 0]]
"
93 write a python function to find One's compliment of a number	"

import math


def OnesComplement(num):
	bits = int(math.floor(math.log(num) / math.log(2)) + 1)
	return ((1 << bits) - 1) ^ num
"
index 1 to 4	"

list1 = [11, 5, 17, 18, 23, 50]

del list1[1:5]

print(*list1)
"
their Values and print it	"

test_list = [{1: 3, 4: 5, 3: 5}, {1: 7, 10: 1, 3: 10}, {1: 100}, {8: 9, 7: 3}]


def func(test_list):
	return sum(list(test_list.values()))


for i in test_list:
	test_list.sort(key=func)
print(test_list)
"
Write a python program to print all pair combinations of 2 tuples.	"

test_tuple1 = (4, 5)
test_tuple2 = (7, 8)

res = [(a, b) for a in test_tuple1 for b in test_tuple2]
res = res + [(a, b) for a in test_tuple2 for b in test_tuple1]

print(""The filtered tuple : "" + str(res))
"
53 write a python function which checks if a number is a perfect square	"import math


def is_perfect_square(num):
	sq_root = round(math.sqrt(num))
	if num == sq_root ** 2:
        return True
	else:
        return False
"
write a python program to print common elements in two lists	"list_a = [1, 2, 3, 4, 5, 6, 7]
list_b = [2, 4, 6, 8, 10]
print(f'Common elements: { set(list_a).intersection(set(list_b)) }')
"
of Tuple and print it	"
test_list = [(""GF ! g !"", 5), (""! i ! s"", 4), (""best !!"", 10)]
print(""The original list is : "" + str(test_list))

K = ""!""
res = [(sub[0].replace(K, ''), sub[1]) for sub in test_list]
print(""The filtered tuples : "" + str(res))
"
write a python function to advance the iterator n-steps ahead	"def consume(iterator, n=None):
	import itertools
	from collections import deque
	
	
	if n is None:
        
        deque(iterator, maxlen=0)
	else:
        
        next(itertools.islice(iterator, n, n), None)
"
86 Write a Python program to find the second smallest number in a list.	"def second_smallest(numbers):
	if (len(numbers) < 2):
        return
	if ((len(numbers) == 2) and (numbers[0] == numbers[1])):
        return
	dup_items = set()
	uniq_items = []
	for x in numbers:
        if x not in dup_items:
            uniq_items.append(x)
            dup_items.add(x)
	uniq_items.sort()
	return uniq_items[1]
"
Sort the list in ascending order	"my_list = [4, 3, 2, 9, 10, 44, 1]
my_list.sort()
print(f""Ascending Order list:,{my_list}"")
"
"""roundrobin('ABC', 'D', 'EF') --> A D E B F C"""	"def roundrobin(*iterables):
	from itertools import islice, cycle
	
	num_active = len(iterables)
	nexts = cycle(iter(it).__next__ for it in iterables)
	while num_active:
        try:
            for next in nexts:
                yield next()
        except StopIteration:
            
            num_active -= 1
            nexts = cycle(islice(nexts, num_active))
"
write s python program to print the difference of two sets	"A = {1, 2, 3, 4, 5}
B = {4, 5, 6, 7, 8}
print(A - B)
"
Write a Python Program to Check If Two Numbers are Amicable Numbers	"

def amicable_no_check(x, y):
	sum1 = 0
	sum2 = 0
	for i in range(1, x):
        if x % i == 0:
            sum1 += i
	for j in range(1, y):
        if y % j == 0:
            sum2 += j
	if(sum1 == y and sum2 == x):
        return True
	else:
        return False
"
Write a Python Program to Find the Intersection of Two Lists	"

def main(alist, blist):
	def intersection(a, b):
        return list(set(a) & set(b))
	return intersection(alist, blist)
"
37 Write a python program to calculate the LCM and HCF of two given numbers	"def hcf(x1, x2):
	if x1 == 0:
        return x2
	else:
        return hcf(x2 % x1, x1)


def lcm_hcf(x1, x2):
	h_c_f = hcf(x1, x2)
	lcm = x1 * x2 / h_c_f
	return lcm, h_c_f


l, h = lcm_hcf(18, 12)


print(f""LCM : {l}, HCF: {h}"")
"
Write a python program to print sum of number digits in List	"test_list = [12, 67, 98, 34]
res = []
for ele in test_list:
	sum = 0
	for digit in str(ele):
        sum += int(digit)
	res.append(sum)
print(""List Integer Summation : "" + str(res))
"
print it	"

def get_max(sub):
	return max(sub)


test_list = [(4, 5, 5, 7), (1, 3, 7, 4), (19, 4, 5, 3), (1, 2)]

print(""The original list is : "" + str(test_list))
test_list.sort(key=get_max, reverse=True)
print(""Sorted Tuples : "" + str(test_list))
"
based of distance travelled in given time	"def cal_time(distance: float, speed: float) -> float:
	return distance / speed
"
30 write a program to check whether the string is a palindrome or not	"def isPalindrome(s):
	return s == s[::-1]


s = ""malayalam""
ans = isPalindrome(s)

if ans:
	print(""Yes"")
else:
	print(""No"")
"
number	"def dlog(x):

	return 1 / x
"
using +	"print('str1 + str2 = ', str1 + str2)
"
94 write a program to print double quotes with the string variable	"str1 = ""Hello world""


print(""\""%s\"""" % str1)
print('""%s""' % str1)
print('""{}""'.format(str1))
"
from the same	"foo = input(""Enter String : "")
print(""Duplicates Removed"", """".join(set(foo)))
"
45. Python Program to Check Whether a String is Palindrome or Not	"

my_str = 'aIbohPhoBiA'
my_str = my_str.casefold()
rev_str = reversed(my_str)

if list(my_str) == list(rev_str):
	print(""The string is a palindrome."")
else:
	print(""The string is not a palindrome."")
"
Bubble sort in python	"list1 = [1, 5, 3, 4]


for i in range(len(list1) - 1):
	for j in range(i + 1, len(list1)):
        if(list1[i] > list1[j]):
            temp = list1[i]
            list1[i] = list1[j]
            list1[j] = temp
print(""Bubble Sorted list: "", list1)
"
5. write a program to find and print the largest among three numbers	"

num1 = 10
num2 = 12
num3 = 14
if (num1 >= num2) and (num1 >= num3):
	largest = num1
elif (num2 >= num1) and (num2 >= num3):
	largest = num2
else:
	largest = num3
print(f'largest:{largest}')
"
